Configuration,Accuracy,Macro_F1,Weighted_F1
TF-IDF only,0.5681818181818182,0.5200840643274853,0.5552349149388623
TF-IDF + SVD,0.5852272727272727,0.5758230371892874,0.5800943011323834
TF-IDF + SVD + Behavioural,0.6363636363636364,0.6344884588860492,0.6370912944708125
TF-IDF + SVD + Sentiment,0.5795454545454546,0.5791453781718392,0.5792805472737924
TF-IDF + SVD + Directive,0.5909090909090909,0.5820142942673252,0.591945442299057
Full Model (All Features),0.6363636363636364,0.631672029238232,0.6362642937608988
