Evaluation,Class,Precision,Recall,F1_Score,Support
Clean Pipeline,hr,0.6666666666666666,0.6363636363636364,0.6511627906976745,22
Clean Pipeline,junior,0.6666666666666666,0.6666666666666666,0.6666666666666666,42
Clean Pipeline,manager,0.5227272727272727,0.5227272727272727,0.5227272727272727,44
Clean Pipeline,other,0.6811594202898551,0.6911764705882353,0.6861313868613139,68
Leaked Production Model,hr,0.9545454545454546,0.9545454545454546,0.9545454545454546,22
Leaked Production Model,junior,0.8666666666666667,0.9285714285714286,0.896551724137931,42
Leaked Production Model,manager,0.925,0.8409090909090909,0.8809523809523809,44
Leaked Production Model,other,0.9130434782608695,0.9264705882352942,0.9197080291970803,68
