,word_count,avg_sentence_len,question_count,hard_directive_count,soft_help_count,directive_count,uncertainty_count,is_greeting_only,sentiment_score,lm_manager_prob,word_count_rel,directive_count_rel,word_count_share,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31
count,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0
mean,15.444162436548224,7.021643098863911,0.14720812182741116,0.03553299492385787,0.03299492385786802,0.06852791878172589,0.17766497461928935,0.0,0.05249346853090508,0.22208121827411167,0.9999999999319498,0.21827411090778343,0.279187817253252,0.14195027242951685,0.02575761958495777,-0.031564811802658556,0.007263235486924274,-0.00933249762994604,-0.00283828495779556,-0.0012180021203218056,-0.004946495780298624,0.0027816574577526985,0.0005382481023120706,0.00028561119935537716,-0.003212449547930466,0.0034924200891756317,-0.002917930274716626,0.006528578257595433,0.005762622947616451,0.003733663509989237,-0.0026909016327241876,-0.0018256221411962962,0.002588383936459758,-0.003364070550413074,-0.0010528774785434434,-0.002678128516400849,0.003793077253119573,0.0032133509101364955,0.0027526530721671953,-0.004452243790482095,-0.004720989430880478,-0.0014064433141191025,0.002448516725756034,-0.00336907374720136,0.0021017656639439456
std,5.611074013660734,3.988454176083923,0.3823788169191967,0.18535804065177372,0.17885034321126722,0.25297087801141493,0.4207210936207375,0.0,0.2087858302426369,0.284269043444951,0.27108957788443905,0.8494299205136412,0.09599410241588,0.08353116384280798,0.1206904425651215,0.10697505101591287,0.10656660002880709,0.10241170849388155,0.09897673306665035,0.0950814950517842,0.09353340559500431,0.09200194364872016,0.09191343355190994,0.09008499662225018,0.08916488456977424,0.08875521377660048,0.088503326591162,0.08705157068756718,0.08609673258470074,0.0859554392526288,0.08488515831147639,0.08412483121019583,0.08353702742457904,0.08303750816573992,0.08258298750518421,0.0820342181408735,0.08139422525538759,0.08052289139390414,0.08033471225322103,0.07925055204791552,0.07879783119598015,0.07799454500981064,0.07731216071591598,0.07683732045947952,0.0764986066083859
min,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.33333333330555553,0.0,0.08333333333159723,0.013935705101796682,-0.26713428707619674,-0.3117050262592473,-0.2635204546270926,-0.3151122163345416,-0.22089748986286856,-0.3064121898771527,-0.2015655249230447,-0.24561662259844222,-0.2723442598451098,-0.27010055181192527,-0.24937556319979073,-0.3047614535615928,-0.22435503668042722,-0.27087342728452596,-0.22190741021913482,-0.20609703938800666,-0.19800103006686692,-0.2900705683480382,-0.21973567332252375,-0.22839475296541997,-0.2958640882825808,-0.24190583944262145,-0.2433421661954431,-0.19622299221325062,-0.20494789544884073,-0.26568064561274457,-0.23346134916434014,-0.22308659989841712,-0.3117730109053978,-0.2375292827077722,-0.20389250164587241
25%,11.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775767112434607,0.0,0.19230769230430228,0.0774729300561678,-0.050775852598525975,-0.10095976769826752,-0.058745768536444046,-0.07469682395486522,-0.05185195900952008,-0.05148886666650863,-0.06048893791452354,-0.05438502138527305,-0.05822383983262296,-0.056109457946278744,-0.0639662700931134,-0.03868738540355954,-0.05848480297324006,-0.053618862094366955,-0.05205610492801863,-0.05235086188191815,-0.06831269913880049,-0.05699866728691068,-0.05054458789468725,-0.05608120150310629,-0.04941856229690122,-0.05566472939058978,-0.0492655351583727,-0.053507228578425624,-0.053991493175878,-0.056917038279265815,-0.058018258627904044,-0.05252865122649766,-0.04248371046485724,-0.053642923085401736,-0.05084958890015133
50%,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.006666666618811,0.0,0.2845238095194076,0.1189335229147985,0.011918534400422096,-0.03429424091661479,0.0066099742697796875,-0.01926348861266327,-0.014570157980596968,0.004837912957740845,-0.015419337383618784,-0.001117971072955843,-0.0017183254998536929,-0.0017367857578195031,-0.00908935922800928,0.011150832481556811,-0.012094687190847709,0.003803419341110686,-0.0003982173937445637,-0.003608007498841873,-0.005247622814408872,0.0037939175081811646,-0.002925678329712785,-0.002868731429458985,0.001038903027414093,-0.0056459211140627765,0.006204063870305499,0.003475064840941167,0.00529564407769904,-0.007068819963951912,-0.011641643502905637,-0.004484298945957055,-0.001577823335205786,-0.002111448411226445,-0.00083234378349184
75%,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.2,1.2114164904030382,0.0,0.3395070422472309,0.19768101097744328,0.08887488305808591,0.03018989773761713,0.06795890409785944,0.04824220903191739,0.024097282266663914,0.04930690385430802,0.03437298840663701,0.055539780846816135,0.051940680468803166,0.058617922056503194,0.053465112788118246,0.05534199406480392,0.03756352865679109,0.060895602941169275,0.055651026630456034,0.04329770848836111,0.05431438774824171,0.05038730872213121,0.055743383978399244,0.0521014037214447,0.04908081313424899,0.04352739480500871,0.05855041878830909,0.05729032898684974,0.05531484628125047,0.04821944982850411,0.05285177565318445,0.051535770485187586,0.05152891082646947,0.04159108430322341,0.053026032445163435
max,34.0,29.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.8,1.6923076922209073,3.9999999839999996,0.6190476190181405,0.3891336663472101,0.3728783786245895,0.311628190928222,0.3565490495613617,0.3149230425466566,0.5705422291797984,0.3116661350785654,0.3936382860306387,0.36832459275034346,0.3227244579044692,0.2806526473104841,0.30276129544372343,0.2364008083993508,0.4251511916649463,0.3183809253347292,0.29826441872086157,0.3733010189216676,0.2662934669062176,0.35938874019348227,0.3132795023738184,0.21914681727884755,0.30261135853958804,0.289419611781917,0.19741706098470385,0.2706739525450739,0.27278225683495133,0.23618140091680098,0.24219784280129938,0.23331080641857493,0.2812364199686002,0.27088594001354555,0.2896288701768334
